date,species,count,site
2024-09-01,Dunlin,234,Palo Alto Baylands
2024-09-15,Dunlin,456,Palo Alto Baylands
2024-10-01,Dunlin,1234,Palo Alto Baylands
2024-10-15,Dunlin,2567,Palo Alto Baylands
2024-11-01,Dunlin,4523,Palo Alto Baylands
2024-11-15,Dunlin,5678,Palo Alto Baylands
2024-12-01,Dunlin,6234,Palo Alto Baylands
2024-12-15,Dunlin,6890,Palo Alto Baylands
2025-01-01,Dunlin,7234,Palo Alto Baylands
2025-01-15,Dunlin,6567,Palo Alto Baylands
2025-02-01,Dunlin,5234,Palo Alto Baylands
2025-02-15,Dunlin,3890,Palo Alto Baylands
2025-03-01,Dunlin,2345,Palo Alto Baylands
2025-03-15,Dunlin,1234,Palo Alto Baylands
2025-04-01,Dunlin,567,Palo Alto Baylands
2025-04-15,Dunlin,189,Palo Alto Baylands
2024-09-01,Western Sandpiper,189,Palo Alto Baylands
2024-09-15,Western Sandpiper,345,Palo Alto Baylands
2024-10-01,Western Sandpiper,890,Palo Alto Baylands
2024-10-15,Western Sandpiper,1890,Palo Alto Baylands
2024-11-01,Western Sandpiper,3456,Palo Alto Baylands
2024-11-15,Western Sandpiper,4234,Palo Alto Baylands
2024-12-01,Western Sandpiper,4890,Palo Alto Baylands
2024-12-15,Western Sandpiper,5234,Palo Alto Baylands
2025-01-01,Western Sandpiper,5567,Palo Alto Baylands
2025-01-15,Western Sandpiper,5123,Palo Alto Baylands
2025-02-01,Western Sandpiper,4234,Palo Alto Baylands
2025-02-15,Western Sandpiper,3123,Palo Alto Baylands
2025-03-01,Western Sandpiper,1890,Palo Alto Baylands
2025-03-15,Western Sandpiper,890,Palo Alto Baylands
2025-04-01,Western Sandpiper,345,Palo Alto Baylands
2025-04-15,Western Sandpiper,123,Palo Alto Baylands
2024-09-01,Marbled Godwit,156,Palo Alto Baylands
2024-09-15,Marbled Godwit,234,Palo Alto Baylands
2024-10-01,Marbled Godwit,456,Palo Alto Baylands
2024-10-15,Marbled Godwit,678,Palo Alto Baylands
2024-11-01,Marbled Godwit,890,Palo Alto Baylands
2024-11-15,Marbled Godwit,1023,Palo Alto Baylands
2024-12-01,Marbled Godwit,1156,Palo Alto Baylands
2024-12-15,Marbled Godwit,1234,Palo Alto Baylands
2025-01-01,Marbled Godwit,1289,Palo Alto Baylands
2025-01-15,Marbled Godwit,1234,Palo Alto Baylands
2025-02-01,Marbled Godwit,1123,Palo Alto Baylands
2025-02-15,Marbled Godwit,978,Palo Alto Baylands
2025-03-01,Marbled Godwit,756,Palo Alto Baylands
2025-03-15,Marbled Godwit,534,Palo Alto Baylands
2025-04-01,Marbled Godwit,312,Palo Alto Baylands
2025-04-15,Marbled Godwit,189,Palo Alto Baylands
